125,    관광펜션업, 2012-06-19,폐업, 폐업, 경상남도 통영시 평림동 967-2, 53063, 
126,    관광펜션업, 2012-06-19,폐업, 폐업, 경상남도 통영시 평림동 967번지, 650-170, 
127,    관광펜션업, 2010-08-03,폐업, 폐업, 강원도 춘천시 남산면 창촌리 86-4번지, , 575.09
128,    관광펜션업, 2014-10-20,폐업, 폐업, 강원도 춘천시 남산면 서천리 319번지, 24464, 571.3
129,    관광펜션업, 2014-12-15,폐업, 폐업, 울산광역시 울주군 서생면 대송리 25-16, 45015, 578
130,    관광펜션업, 2017-08-31,폐업, 폐업, 전라남도 보성군 보성읍 보성리 1141-2, 59448, 98.01
131,    관광펜션업, 2018-02-05,폐업, 폐업, 전라남도 보성군 보성읍 봉산리 1145, 59448, 136.57
132,    관광펜션업, 2018-05-17,폐업, 폐업, 전라남도 보성군 벌교읍 장양리 558-3, 59419, 88.5
133,    관광펜션업, 2010-09-07,폐업, 폐업, 전라남도 무안군 몽탄면 봉명리 580번지, , 463
134,    관광펜션업, 2005-04-14,폐업, 폐업, 전라남도 무안군 망운면 피서리 809-54번지, 534-851, 1316.64
135,    관광펜션업, 2009-09-17,폐업, 폐업, 전라남도 영광군 염산면 두우리 969, 57067, 169.43
136,    관광펜션업, 2017-12-08,폐업, 폐업, 경기도 화성시 서신면 제부리 288-101, 18553, 195.6
137,    관광펜션업, 2020-03-06,폐업, 폐업, 강원도 춘천시 남산면 서천리 532, 24464, 198
138,    관광펜션업, 2020-03-05,폐업, 폐업, 강원도 원주시 소초면 학곡리 57-13, 26304, 171.66
139,    관광펜션업, 2010-07-08,폐업, 폐업, 경상남도 거제시 장목면 유호리 78-32번지, , 221.68
140,    관광펜션업, 2013-02-26,폐업, 폐업, 경상남도 거제시 남부면 저구리 737-70, 53333, 196.92
141,    관광펜션업, 2013-07-19,폐업, 폐업, 경상남도 거제시 장목면 관포리 586-2번지, 656-832, 228.29
142,    관광펜션업, 2017-04-10,폐업, 폐업, 경상남도 거제시 하청면 석포리 24-12번지, 53205, 
143,    관광펜션업, 2013-07-19,폐업, 폐업, 경상남도 거제시 장목면 관포리 581-4번지, 656-832, 228.29
144,    관광펜션업, 2013-07-19,폐업, 폐업, 경상남도 거제시 장목면 관포리 581-7번지, 656-832, 228.29
145,    관광펜션업, 2013-07-19,폐업, 폐업, 경상남도 거제시 장목면 관포리 586-7번지, 656-832, 228.47
146,    관광펜션업, 2013-07-19,폐업, 폐업, 경상남도 거제시 장목면 관포리 581-4번지, 656-832, 228.47
147,    관광펜션업, 2014-06-17,폐업, 폐업, 경상남도 거제시 동부면 학동리 229-2번지, 656-852, 385.3
148,    관광펜션업, 2015-06-15,폐업, 폐업, 경상남도 거제시 일운면 망치리 463-2, 53329, 188.8
149,    관광펜션업, 2017-02-20,폐업, 폐업, 경상남도 거제시 하청면 석포리 24-6번지, 53205, 
150,    관광펜션업, 2017-02-20,폐업, 폐업, 경상남도 거제시 하청면 석포리 24-7번지, 53205, 
151,    관광펜션업, 2004-06-21,폐업, 폐업, 강원도 정선군 정선읍 회동리 168번지, , 717.84
152,    관광펜션업, 2004-09-24,폐업, 폐업, 강원도 정선군 정선읍 덕송리 408번지, , 317.35
153,    관광펜션업, 2008-05-08,폐업, 폐업, 강원도 정선군 정선읍 회동리 171-1번지, 233-802, 299.69
154,    관광펜션업, 2017-02-14,폐업, 폐업, 강원도 정선군 남면 무릉리 741-5, 26146, 
155,    관광펜션업, 2017-02-17,폐업, 폐업, 강원도 정선군 남면 741-6번지, 26146, 
156,    관광펜션업, 2018-05-08,폐업, 폐업, 강원도 삼척시 근덕면 장호리 185-4번지, 25938, 416.94
157,    관광펜션업, 2004-08-03,폐업, 폐업, 강원도 홍천군 홍천읍 삼마치리 385번지, , 267.89
158,    관광펜션업, 2004-04-30,폐업, 폐업, 강원도 홍천군 서면 대곡리 1040-1번지, , 
159,    관광펜션업, 2007-06-27,폐업, 폐업, 강원도 홍천군 북방면 노일리 901-3번지, 25111, 
160,    관광펜션업, 2010-03-25,폐업, 폐업, 강원도 홍천군 서석면 수하리 1301-8번지, , 
161,    관광펜션업, 2012-06-27,폐업, 폐업, 강원도 홍천군 내촌면 광암리 472-4번지, 25161, 191.5
162,    관광펜션업, 2006-04-17,폐업, 폐업, 강원도 양양군 손양면 도화리 183-12번지, , 752.76
163,    관광펜션업, 2006-04-17,폐업, 폐업, 강원도 양양군 손양면 도화리 183-4번지, , 804.18
164,    관광펜션업, 2010-09-07,폐업, 폐업, 강원도 양양군 서면 내현리 30-15, 25038, 
165,    관광펜션업, 2011-08-22,폐업, 폐업, 강원도 양양군 서면 내현리 30-16, , 
166,    관광펜션업, 2020-05-15,폐업, 폐업, 경상남도 거제시 동부면 가배리 738-5, 53330, 
167,    관광펜션업, 2010-10-27,폐업, 폐업, 경상남도 남해군 상주면 상주리 230번지, , 956.96
168,    관광펜션업, 2017-07-13,폐업, 폐업, 경상남도 거제시 장목면 시방리 301-9, 53202, 
169,    관광펜션업, 2018-04-30,폐업, 폐업, 경상남도 거제시 일운면 망치리 58-2번지, 53329, 213.87
170,    관광펜션업, 2014-01-03,폐업, 폐업, 경상남도 통영시 욕지면 동항리 409-2번지, 650-913, 229.48
171,    관광펜션업, 2014-09-01,폐업, 폐업, 경상남도 통영시 산양읍 신전리 175-1번지, 53086, 
172,    관광펜션업, 2014-11-06,폐업, 폐업, 경상남도 통영시 용남면 장문리 915-1번지, 53017, 
173,    관광펜션업, 2014-12-04,폐업, 폐업, 경상남도 통영시 용남면 원평리 1151번지, 53023, 
174,    관광펜션업, 2015-05-26,폐업, 폐업, 경상남도 통영시 산양읍 미남리 92-6번지, 53087, 
175,    관광펜션업, 2016-05-04,폐업, 폐업, 경상남도 통영시 산양읍 영운리 529-1번지, 53085, 
176,    관광펜션업, 2018-03-20,폐업, 폐업, 경상남도 통영시 욕지면 동항리 1245-2 펜션, 53100, 107.52
177,    관광펜션업, 2010-11-22,폐업, 폐업, 강원도 평창군 봉평면 흥정리 250-8번지, , 197.21
178,    관광펜션업, 2012-11-16,폐업, 폐업, 강원도 평창군 봉평면 면온리 697-8번지, 25309, 156.64
179,    관광펜션업, 2014-06-03,폐업, 폐업, 강원도 평창군 진부면 수항리 208-2번지, 25337, 115.05
180,    관광펜션업, 2004-04-28,폐업, 폐업, 강원도 평창군 방림면 계촌리 2223번지, , 990
181,    관광펜션업, 2005-05-23,폐업, 폐업, 강원도 평창군 봉평면 면온리 693-11번지, , 454
182,    관광펜션업, 2007-12-28,폐업, 폐업, 강원도 평창군 방림면 계촌리 2226-1번지, , 990
183,    관광펜션업, 2008-05-13,폐업, 폐업, 강원도 평창군 진부면 탑동리 339-3번지, , 225.47
184,    관광펜션업, 2013-10-14,폐업, 폐업, 강원도 홍천군 서면 팔봉리 993-2번지 1통1반, 25101, 652
185,    관광펜션업, 2017-11-22,폐업, 폐업, 강원도 홍천군 서면 대곡리 25번지, 25103, 
186,    관광펜션업, 2013-10-30,폐업, 폐업, 강원도 홍천군 서면 팔봉리 978-2번지 0통, 25101, 153.06
187,    관광펜션업, 2015-02-03,폐업, 폐업, 강원도 홍천군 남면 월천리 103-1, 250-871, 252.57
188,    관광펜션업, 2015-04-27,폐업, 폐업, 강원도 홍천군 북방면 장항리 98-3, 25116, 161.09
189,    관광펜션업, 2016-02-24,폐업, 폐업, 강원도 홍천군 북방면 장항리 201-30, 25116, 336.14
190,    관광펜션업, 2016-02-24,폐업, 폐업, 강원도 홍천군 북방면 장항리 201-31, 25116, 310.64
191,    관광펜션업, 2011-10-10,폐업, 폐업, 강원도 양구군 양구읍 상리 525-4번지, , 160.72
192,    관광펜션업, 2003-12-18,폐업, 폐업, 강원도 강릉시 저동 64-6번지, , 195.4
193,    관광펜션업, 2004-08-02,폐업, 폐업, 강원도 강릉시 사천면 석교리 343-1번지, , 
194,    관광펜션업, 2009-06-11,폐업, 폐업, 강원도 강릉시 강동면 정동진리 산 33-1번지, , 5866.13
195,    관광펜션업, 2012-03-29,폐업, 폐업, 강원도 강릉시 연곡면 삼산리, 210-863, 
196,    관광펜션업, 2011-01-12,폐업, 폐업, 강원도 태백시 황지동 496-2번지, 235-019, 213.39
197,    관광펜션업, 2012-07-17,폐업, 폐업, 강원도 고성군 토성면 천진리 47번지, 24764, 
198,    관광펜션업, 2021-09-17,폐업, 폐업, 충청남도 태안군 안면읍 황도리 64-25 바다가되고싶어요, 32160, 232.8
199,    관광펜션업, 2021-04-26,폐업, 폐업, 충청남도 태안군 안면읍 황도리 73-4, 32160, 363.67
200,    관광펜션업, 2010-11-18,폐업, 폐업, 경상남도 산청군 산청읍 차탄리 498-1번지, , 95.28
201,    관광펜션업, 2010-11-18,폐업, 폐업, 경상남도 산청군 산청읍 차탄리 498-2번지, , 95.28
202,    관광펜션업, 2012-10-22,폐업, 폐업, 경상남도 산청군 산청읍 내리 877번지, 666-801, 
203,    관광펜션업, 2012-10-23,폐업, 폐업, 경상남도 산청군 시천면 중산리 544번지, 52236, 
204,    관광펜션업, 2014-06-05,폐업, 폐업, 경상남도 산청군 삼장면 평촌리 614번지, 52232, 
205,    관광펜션업, 2010-11-18,폐업, 폐업, 경상남도 산청군 산청읍 차탄리 498-3번지, 666-800, 92.76
206,    관광펜션업, 2007-11-26,폐업, 폐업, 경상남도 밀양시 산내면 삼양리 1870-3번지, 50415, 147
207,    관광펜션업, 2010-03-25,폐업, 폐업, 경상남도 밀양시 단장면 범도리 1067-3번지 외 1, 50418, 
208,    관광펜션업, 2004-12-15,폐업, 폐업, 경상남도 거제시 일운면 소동리 129번지, , 132.7
209,    관광펜션업, 2004-12-15,폐업, 폐업, 경상남도 거제시 일운면 소동리 129-2번지, , 141.02
210,    관광펜션업, 2004-12-15,폐업, 폐업, 경상남도 거제시 일운면 소동리 130-1번지, , 134.92
211,    관광펜션업, 2007-01-22,폐업, 폐업, 경상남도 거제시 일운면 망치리 8-1번지, , 
212,    관광펜션업, 2008-08-06,폐업, 폐업, 경상남도 거제시 장목면 외포리 1256-2번지 외 11필지(1,6,8,9,10,11,15,16,17,22,23), , 1445.99
213,    관광펜션업, 2009-02-25,폐업, 폐업, 경상남도 거제시 일운면 망치리 9-42번지, , 273.88
214,    관광펜션업, 2009-02-25,폐업, 폐업, 경상남도 거제시 일운면 망치리 9-41번지, , 341.43
215,    관광펜션업, 2009-03-05,폐업, 폐업, 경상남도 거제시 일운면 소동리 158-9, , 143.82
216,    관광펜션업, 2009-06-16,폐업, 폐업, 경상남도 거제시 일운면 망치리 45-8번지, 656-891, 410.52
217,    관광펜션업, 2009-12-30,폐업, 폐업, 경상남도 남해군 창선면 동대리 116번지, , 385.1
218,    관광펜션업, 2010-01-18,폐업, 폐업, 경상남도 남해군 창선면 동대리 114-15번지, , 235.91
